!  t (Gyr) =   0.0005
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.200  3261.   -2.32  5.07  0.217    0.000  13.27  12.24  10.49   9.71   9.32  
 0.300  3415.   -1.98  4.98  0.293    0.000  12.10  11.04   9.52   8.83   8.49  
 0.400  3519.   -1.71  4.89  0.374    0.000  11.25  10.18   8.79   8.16   7.84  
 0.500  3679.   -1.45  4.81  0.462    0.000  10.33   9.23   8.05   7.49   7.21  
 0.600  3969.   -1.16  4.72  0.557    0.000   9.24   8.10   7.22   6.78   6.55  
 0.700  4396.   -0.86  4.67  0.640    0.000   8.12   6.96   6.37   6.06   5.87  
 0.800  4842.   -0.59  4.62  0.725    0.001   7.02   6.07   5.62   5.38   5.24  
 0.900  5244.   -0.33  4.56  0.827    0.073   6.16   5.37   4.98   4.78   4.67  
 1.000  5627.   -0.10  4.49  0.944    0.306   5.42   4.74   4.40   4.23   4.16  
 1.100  5945.    0.13  4.40  1.093    0.574   4.77   4.17   3.87   3.73   3.67  
 1.200  6202.    0.33  4.31  1.274    0.770   4.20   3.66   3.38   3.26   3.21  
 1.300  6403.    0.52  4.21  1.481    0.880   3.69   3.20   2.95   2.83   2.80  
 1.400  6464.    0.68  4.10  1.751    0.938   3.27   2.79   2.55   2.44   2.41  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   3.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.070  1650.   -4.27  5.38  0.090    0.000  23.67  20.39  18.32  16.37  15.36  
 0.072  1793.   -4.11  5.38  0.091    0.000  22.96  19.87  17.79  15.73  14.65  
 0.075  2052.   -3.87  5.39  0.092    0.000  22.52  19.44  17.19  14.92  13.72  
 0.080  2343.   -3.58  5.35  0.099    0.000  21.07  18.48  15.72  13.63  12.51  
 0.090  2644.   -3.25  5.29  0.113    0.000  18.61  17.07  13.96  12.46  11.67  
 0.100  2810.   -3.06  5.25  0.124    0.000  17.02  15.81  13.01  11.80  11.17  
 0.110  2915.   -2.92  5.22  0.135    0.000  16.36  15.09  12.49  11.37  10.81  
 0.130  3046.   -2.73  5.17  0.156    0.000  15.14  14.05  11.77  10.80  10.31  
 0.150  3131.   -2.58  5.13  0.174    0.000  14.26  13.28  11.27  10.40   9.96  
 0.170  3191.   -2.46  5.10  0.192    0.000  13.80  12.78  10.91  10.09   9.67  
 0.200  3261.   -2.32  5.07  0.217    0.000  13.26  12.23  10.48   9.70   9.31  
 0.300  3416.   -1.97  4.97  0.295    0.000  12.08  11.02   9.51   8.82   8.47  
 0.400  3520.   -1.71  4.89  0.375    0.000  11.24  10.17   8.79   8.15   7.83  
 0.500  3679.   -1.45  4.80  0.464    0.000  10.32   9.22   8.04   7.49   7.20  
 0.600  3974.   -1.15  4.72  0.559    0.000   9.22   8.09   7.21   6.77   6.53  
 0.700  4407.   -0.85  4.67  0.643    0.000   8.09   6.93   6.35   6.04   5.85  
 0.800  4859.   -0.57  4.61  0.731    0.001   6.98   6.04   5.59   5.35   5.21  
 0.900  5270.   -0.31  4.55  0.838    0.070   6.10   5.31   4.93   4.73   4.62  
 1.000  5661.   -0.06  4.47  0.966    0.306   5.33   4.66   4.33   4.16   4.09  
 1.100  5974.    0.17  4.36  1.143    0.574   4.65   4.06   3.76   3.61   3.56  
 1.200  6191.    0.39  4.25  1.366    0.770   4.05   3.51   3.24   3.11   3.07  
 1.300  6177.    0.56  4.11  1.671    0.880   3.63   3.09   2.81   2.68   2.64  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   4.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.070  1631.   -4.29  5.38  0.090    0.000  23.80  20.49  18.41  16.47  15.46  
 0.072  1790.   -4.12  5.38  0.091    0.000  22.98  19.88  17.80  15.74  14.66  
 0.075  2041.   -3.88  5.39  0.092    0.000  22.57  19.45  17.22  14.97  13.77  
 0.080  2343.   -3.58  5.35  0.099    0.000  21.08  18.48  15.73  13.63  12.51  
 0.090  2644.   -3.25  5.29  0.113    0.000  18.61  17.07  13.96  12.46  11.66  
 0.100  2811.   -3.06  5.25  0.124    0.000  17.02  15.81  13.01  11.80  11.17  
 0.110  2916.   -2.92  5.22  0.135    0.000  16.35  15.09  12.49  11.37  10.81  
 0.130  3046.   -2.73  5.17  0.156    0.000  15.14  14.05  11.77  10.80  10.31  
 0.150  3131.   -2.58  5.13  0.174    0.000  14.26  13.27  11.27  10.40   9.96  
 0.170  3192.   -2.46  5.10  0.192    0.000  13.79  12.78  10.91  10.08   9.67  
 0.200  3262.   -2.32  5.06  0.217    0.000  13.26  12.23  10.48   9.70   9.31  
 0.300  3416.   -1.97  4.97  0.297    0.000  12.06  11.01   9.49   8.80   8.46  
 0.400  3520.   -1.71  4.89  0.376    0.000  11.23  10.16   8.78   8.14   7.82  
 0.500  3680.   -1.45  4.80  0.465    0.000  10.31   9.21   8.03   7.48   7.19  
 0.600  3979.   -1.15  4.72  0.561    0.000   9.20   8.07   7.19   6.76   6.52  
 0.700  4418.   -0.85  4.66  0.646    0.000   8.06   6.90   6.33   6.02   5.83  
 0.800  4878.   -0.56  4.61  0.736    0.000   6.93   6.00   5.55   5.32   5.18  
 0.900  5297.   -0.29  4.53  0.850    0.068   6.03   5.26   4.88   4.68   4.58  
 1.000  5697.   -0.03  4.44  0.994    0.306   5.23   4.57   4.24   4.08   4.00  
 1.100  5996.    0.23  4.32  1.204    0.574   4.51   3.93   3.63   3.49   3.43  
 1.200  6053.    0.43  4.17  1.491    0.770   3.99   3.42   3.13   3.00   2.94  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   5.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.070  1627.   -4.30  5.38  0.090    0.000  23.83  20.52  18.43  16.49  15.48  
 0.072  1790.   -4.12  5.38  0.091    0.000  22.98  19.88  17.80  15.74  14.66  
 0.075  2038.   -3.89  5.39  0.091    0.000  22.59  19.46  17.23  14.99  13.79  
 0.080  2343.   -3.58  5.35  0.099    0.000  21.07  18.48  15.72  13.63  12.51  
 0.090  2644.   -3.25  5.29  0.113    0.000  18.60  17.07  13.95  12.46  11.66  
 0.100  2811.   -3.06  5.25  0.124    0.000  17.02  15.80  13.01  11.80  11.17  
 0.110  2916.   -2.92  5.22  0.135    0.000  16.35  15.09  12.49  11.37  10.81  
 0.130  3046.   -2.73  5.17  0.156    0.000  15.14  14.04  11.77  10.80  10.31  
 0.150  3131.   -2.58  5.13  0.175    0.000  14.26  13.27  11.27  10.40   9.96  
 0.170  3192.   -2.46  5.10  0.192    0.000  13.79  12.78  10.91  10.08   9.67  
 0.200  3262.   -2.32  5.06  0.218    0.000  13.25  12.23  10.48   9.70   9.31  
 0.300  3416.   -1.96  4.96  0.299    0.000  12.05  10.99   9.48   8.79   8.44  
 0.400  3521.   -1.71  4.89  0.377    0.000  11.23  10.15   8.77   8.14   7.82  
 0.500  3682.   -1.44  4.80  0.467    0.000  10.30   9.20   8.02   7.47   7.19  
 0.600  3984.   -1.15  4.72  0.562    0.000   9.19   8.05   7.18   6.75   6.51  
 0.700  4430.   -0.84  4.66  0.648    0.000   8.02   6.88   6.30   6.00   5.82  
 0.800  4896.   -0.55  4.60  0.742    0.000   6.89   5.96   5.52   5.28   5.15  
 0.900  5325.   -0.27  4.52  0.863    0.066   5.96   5.20   4.82   4.63   4.53  
 1.000  5732.    0.01  4.41  1.028    0.306   5.12   4.47   4.15   3.98   3.91  
 1.100  5971.    0.27  4.26  1.281    0.574   4.40   3.81   3.51   3.37   3.31  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   8.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.070  1626.   -4.30  5.38  0.090    0.000  23.84  20.52  18.43  16.50  15.49  
 0.072  1789.   -4.12  5.38  0.091    0.000  22.98  19.88  17.80  15.75  14.66  
 0.075  2036.   -3.89  5.39  0.091    0.000  22.60  19.46  17.23  14.99  13.79  
 0.080  2344.   -3.58  5.35  0.099    0.000  21.07  18.47  15.72  13.63  12.51  
 0.090  2645.   -3.25  5.29  0.113    0.000  18.60  17.06  13.95  12.46  11.66  
 0.100  2812.   -3.06  5.25  0.124    0.000  17.01  15.80  13.01  11.79  11.17  
 0.110  2917.   -2.92  5.22  0.135    0.000  16.35  15.08  12.48  11.37  10.81  
 0.130  3047.   -2.73  5.17  0.156    0.000  15.13  14.04  11.77  10.79  10.31  
 0.150  3132.   -2.58  5.13  0.175    0.000  14.26  13.27  11.27  10.39   9.95  
 0.170  3193.   -2.46  5.10  0.193    0.000  13.78  12.77  10.90  10.08   9.66  
 0.200  3264.   -2.31  5.06  0.219    0.000  13.23  12.21  10.46   9.68   9.29  
 0.300  3416.   -1.95  4.95  0.303    0.000  12.02  10.97   9.45   8.76   8.41  
 0.400  3522.   -1.70  4.88  0.379    0.000  11.21  10.14   8.76   8.13   7.81  
 0.500  3686.   -1.44  4.79  0.469    0.000  10.28   9.17   8.00   7.45   7.17  
 0.600  4001.   -1.13  4.71  0.566    0.000   9.13   8.00   7.14   6.72   6.48  
 0.700  4467.   -0.81  4.65  0.656    0.000   7.92   6.79   6.23   5.94   5.76  
 0.800  4958.   -0.50  4.58  0.761    0.000   6.74   5.84   5.41   5.18   5.05  
 0.900  5420.   -0.19  4.47  0.914    0.063   5.72   4.99   4.63   4.44   4.35  
 1.000  5772.    0.15  4.29  1.186    0.306   4.77   4.13   3.81   3.65   3.58  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =  10.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    g_p1        r_p1        i_p1        y_p1        z_p1
!-----------------------------------------------------------------------------------------------
 0.070  1626.   -4.30  5.38  0.090    0.000  23.84  20.52  18.43  16.50  15.49  
 0.072  1790.   -4.12  5.38  0.091    0.000  22.98  19.88  17.80  15.74  14.66  
 0.075  2037.   -3.89  5.39  0.091    0.000  22.59  19.46  17.23  14.99  13.79  
 0.080  2345.   -3.58  5.35  0.099    0.000  21.06  18.47  15.72  13.63  12.51  
 0.090  2646.   -3.25  5.29  0.113    0.000  18.59  17.06  13.94  12.46  11.66  
 0.100  2812.   -3.06  5.25  0.124    0.000  17.01  15.80  13.00  11.79  11.17  
 0.110  2917.   -2.92  5.22  0.135    0.000  16.34  15.08  12.48  11.37  10.80  
 0.130  3048.   -2.73  5.17  0.156    0.000  15.12  14.03  11.76  10.79  10.30  
 0.150  3133.   -2.58  5.13  0.175    0.000  14.25  13.26  11.26  10.39   9.95  
 0.170  3194.   -2.46  5.10  0.193    0.000  13.78  12.76  10.90  10.07   9.66  
 0.200  3265.   -2.31  5.05  0.220    0.000  13.22  12.20  10.45   9.67   9.28  
 0.300  3416.   -1.95  4.95  0.304    0.000  12.01  10.96   9.44   8.75   8.40  
 0.400  3524.   -1.70  4.88  0.380    0.000  11.20  10.13   8.75   8.12   7.80  
 0.500  3689.   -1.43  4.79  0.471    0.000  10.26   9.16   7.99   7.44   7.16  
 0.600  4013.   -1.12  4.71  0.569    0.000   9.11   7.96   7.11   6.69   6.46  
 0.700  4493.   -0.79  4.64  0.662    0.000   7.85   6.73   6.19   5.90   5.72  
 0.800  5002.   -0.47  4.56  0.776    0.000   6.63   5.75   5.32   5.10   4.97  
 0.900  5495.   -0.12  4.42  0.964    0.063   5.52   4.81   4.45   4.27   4.19  
!-----------------------------------------------------------------------------------------------
